/projectnb/modselrl/venvs/mynewenv/lib/python3.10/site-packages/gymnasium/envs/registration.py:517: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
global_step=418417, episodic_return=[-468.12903845]
global_step=419418, episodic_return=[-518.08643635]
SPS: 777
global_step=420419, episodic_return=[-294.2238257]
global_step=421420, episodic_return=[-349.77354835]
SPS: 778
global_step=422421, episodic_return=[-270.49533897]
global_step=423422, episodic_return=[-177.82289542]
SPS: 778
global_step=424423, episodic_return=[-322.73167856]
global_step=425424, episodic_return=[-271.90208331]
SPS: 777
global_step=426425, episodic_return=[-359.034349]
global_step=427426, episodic_return=[-315.78964624]
SPS: 777
global_step=428427, episodic_return=[-554.93421632]
global_step=429428, episodic_return=[-406.64883714]
SPS: 777
global_step=430429, episodic_return=[-254.63492556]
global_step=431430, episodic_return=[-209.92780224]
SPS: 777
global_step=432431, episodic_return=[-392.78874053]
global_step=433432, episodic_return=[-385.10534216]
SPS: 777
global_step=434433, episodic_return=[-279.02419873]
global_step=435434, episodic_return=[-302.09190417]
SPS: 777
global_step=436435, episodic_return=[-338.77945932]
global_step=437436, episodic_return=[-266.20750606]
SPS: 777
global_step=438437, episodic_return=[-327.16019389]
global_step=439438, episodic_return=[-442.04924424]
SPS: 777
global_step=440439, episodic_return=[-327.23402746]
global_step=441440, episodic_return=[-389.0205261]
SPS: 777
global_step=442441, episodic_return=[-279.63632354]
global_step=443442, episodic_return=[-354.29577803]
SPS: 777
global_step=444443, episodic_return=[-335.33275863]
global_step=445444, episodic_return=[-402.83010383]
global_step=446445, episodic_return=[-344.69362489]
SPS: 777
global_step=447446, episodic_return=[-446.43007709]
global_step=448447, episodic_return=[-263.6560065]
SPS: 777
global_step=449448, episodic_return=[-476.94212638]
global_step=450449, episodic_return=[-328.92620829]
SPS: 777
global_step=451450, episodic_return=[-288.49770122]
global_step=452451, episodic_return=[-324.5659621]
SPS: 777
global_step=453452, episodic_return=[-456.72932233]
global_step=454453, episodic_return=[-405.3799038]
SPS: 777
global_step=455454, episodic_return=[-350.65054671]
global_step=456455, episodic_return=[-392.56651575]
SPS: 777
global_step=457456, episodic_return=[-340.11611579]
global_step=458457, episodic_return=[-375.14957196]
SPS: 776
global_step=459458, episodic_return=[-264.78981832]
global_step=460459, episodic_return=[-522.21515844]
SPS: 776
global_step=461460, episodic_return=[-277.95625276]
global_step=462461, episodic_return=[-190.82243494]
SPS: 775
global_step=463462, episodic_return=[-360.88366492]
global_step=464463, episodic_return=[-320.06013472]
SPS: 775
global_step=465464, episodic_return=[-393.98941698]
global_step=466465, episodic_return=[-328.21386861]
SPS: 775
global_step=467466, episodic_return=[-347.56123474]
global_step=468467, episodic_return=[-340.27030935]
SPS: 774
global_step=469468, episodic_return=[-359.05377324]
global_step=470469, episodic_return=[-482.06882098]
SPS: 774
global_step=471470, episodic_return=[-379.29192258]
global_step=472471, episodic_return=[-440.51933215]
SPS: 774
global_step=473472, episodic_return=[-492.88887263]
global_step=474473, episodic_return=[-309.91340716]
SPS: 774
global_step=475474, episodic_return=[-310.73603835]
global_step=476475, episodic_return=[-327.48410915]
SPS: 773
global_step=477476, episodic_return=[-350.78244488]
global_step=478477, episodic_return=[-295.28047832]
SPS: 773
global_step=479478, episodic_return=[-370.29154832]
global_step=480479, episodic_return=[-362.93449684]
SPS: 773
global_step=481480, episodic_return=[-380.66859947]
global_step=482481, episodic_return=[-347.46320645]
SPS: 773
global_step=483482, episodic_return=[-355.65657854]
global_step=484483, episodic_return=[-398.62638254]
SPS: 773
global_step=485484, episodic_return=[-237.15478998]
global_step=486485, episodic_return=[-215.14218854]
SPS: 773
global_step=487486, episodic_return=[-322.45639073]
global_step=488487, episodic_return=[-250.42907044]
SPS: 773
global_step=489488, episodic_return=[-378.25023857]
global_step=490489, episodic_return=[-322.79154423]
global_step=491490, episodic_return=[-350.17173808]
SPS: 773
global_step=492491, episodic_return=[-331.4444306]
global_step=493492, episodic_return=[-284.87294837]
SPS: 773
global_step=494493, episodic_return=[-374.24144155]
global_step=495494, episodic_return=[-362.62125172]
SPS: 773
global_step=496495, episodic_return=[-274.45235663]
global_step=497496, episodic_return=[-302.64266275]
SPS: 773
global_step=498497, episodic_return=[-393.4026756]
global_step=499498, episodic_return=[-291.40037007]
SPS: 773
global_step=500499, episodic_return=[-406.73381491]
global_step=501500, episodic_return=[-319.40921942]
SPS: 773
global_step=502501, episodic_return=[-320.38676192]
global_step=503502, episodic_return=[-373.77874845]
SPS: 772
global_step=504503, episodic_return=[-315.88708225]
global_step=505504, episodic_return=[-323.02890423]
SPS: 772
global_step=506505, episodic_return=[-340.64091349]
global_step=507506, episodic_return=[-220.83397092]
SPS: 773
global_step=508507, episodic_return=[-331.3531193]
global_step=509508, episodic_return=[-326.44225867]
SPS: 772
global_step=510509, episodic_return=[-503.2503347]
global_step=511510, episodic_return=[-299.07038637]
SPS: 773
global_step=512511, episodic_return=[-382.47182855]
global_step=513512, episodic_return=[-348.50872067]
SPS: 772
global_step=514513, episodic_return=[-422.22739299]
global_step=515514, episodic_return=[-274.14384499]
SPS: 772
global_step=516515, episodic_return=[-351.28371333]
global_step=517516, episodic_return=[-318.02912273]
SPS: 772
global_step=518517, episodic_return=[-337.14201208]
global_step=519518, episodic_return=[-353.49390053]
SPS: 772
global_step=520519, episodic_return=[-278.04779574]
global_step=521520, episodic_return=[-237.48802802]
SPS: 772
global_step=522521, episodic_return=[-330.42174363]
global_step=523522, episodic_return=[-334.57660964]
SPS: 773
